block,set_id,seed,group,baseline,shown_A,shown_B,wh_A,wh_B,answer,verdict
upscale,p006+p029,47,"fail",SCALE,SCALE,NOSCALE,832x1248,672x1024,B,arm_better
upscale,g027+p003,48,"fail",SCALE,SCALE,NOSCALE,768x1344,576x1024,B,arm_better
crop2,g004+g005,48,"fail",SCALE,SCALE,CROP2,896x1152,896x1152,same,same
upscale,g005+g014,47,"fail",SCALE,SCALE,NOSCALE,896x1120,800x1024,B,arm_better
crop2,g024+p010,47,"fail",SCALE,CROP2,SCALE,1024x1024,1024x1024,same,same
upscale,p009+p014,46,"clean",SCALE,NOSCALE,SCALE,672x1024,832x1248,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g001,47,"product shot · parser found a head: True · bald pass changed 3.3% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g026,46,"product shot · parser found a head: True · bald pass changed 6.7% of pixels",PROD,PROD,NOBALD,1216x832,1216x832,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g017,46,"product shot · parser found a head: True · bald pass changed 6.2% of pixels",PROD,NOBALD,PROD,832x1248,832x1248,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g023,46,"product shot · parser found a head: True · bald pass changed 5.7% of pixels",PROD,NOBALD,PROD,832x1248,832x1248,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g028,46,"product shot · parser found a head: True · bald pass changed 5.2% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g017,47,"product shot · parser found a head: True · bald pass changed 6.2% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g023,47,"product shot · parser found a head: True · bald pass changed 5.7% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g023,46,"product shot · parser found a head: True · bald pass changed 5.7% of pixels",PROD,NOBALD,PROD,832x1248,832x1248,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g002,47,"product shot · parser found a head: True · bald pass changed 7.7% of pixels",PROD,PROD,NOBALD,1216x832,1216x832,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g002,46,"product shot · parser found a head: True · bald pass changed 7.7% of pixels",PROD,PROD,NOBALD,1216x832,1216x832,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g010,47,"product shot · parser found a head: True · bald pass changed 2.7% of pixels",PROD,NOBALD,PROD,1216x832,1216x832,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g028,46,"product shot · parser found a head: True · bald pass changed 5.2% of pixels",PROD,NOBALD,PROD,832x1248,832x1248,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g016,46,"product shot · parser found a head: True · bald pass changed 4.7% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g028,47,"product shot · parser found a head: True · bald pass changed 5.2% of pixels",PROD,PROD,NOBALD,1216x832,1216x832,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g002,47,"product shot · parser found a head: True · bald pass changed 7.7% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g021,47,"product shot · parser found a head: True · bald pass changed 7.4% of pixels",PROD,PROD,NOBALD,1216x832,1216x832,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g021,47,"product shot · parser found a head: True · bald pass changed 7.4% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g002,46,"product shot · parser found a head: True · bald pass changed 7.7% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g028,47,"product shot · parser found a head: True · bald pass changed 5.2% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g016,46,"product shot · parser found a head: True · bald pass changed 4.7% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g017,46,"product shot · parser found a head: True · bald pass changed 6.2% of pixels",PROD,NOBALD,PROD,832x1248,832x1248,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g002,47,"product shot · parser found a head: True · bald pass changed 7.7% of pixels",PROD,NOBALD,PROD,832x1248,832x1248,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g008,47,"product shot · parser found a head: True · bald pass changed 3.9% of pixels",PROD,NOBALD,PROD,1216x832,1216x832,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g008,46,"product shot · parser found a head: True · bald pass changed 3.9% of pixels",PROD,NOBALD,PROD,1216x832,1216x832,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g023,47,"product shot · parser found a head: True · bald pass changed 5.7% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,A,baseline_better
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g008,46,"product shot · parser found a head: True · bald pass changed 3.9% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g010,47,"product shot · parser found a head: True · bald pass changed 2.7% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g026,47,"product shot · parser found a head: True · bald pass changed 6.7% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g017,46,"product shot · parser found a head: True · bald pass changed 6.2% of pixels",PROD,NOBALD,PROD,1216x832,1216x832,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g001,46,"product shot · parser found a head: True · bald pass changed 3.3% of pixels",PROD,NOBALD,PROD,1216x832,1216x832,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g026,47,"product shot · parser found a head: True · bald pass changed 6.7% of pixels",PROD,NOBALD,PROD,832x1248,832x1248,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g010,46,"product shot · parser found a head: True · bald pass changed 2.7% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g026,46,"product shot · parser found a head: True · bald pass changed 6.7% of pixels",PROD,NOBALD,PROD,832x1248,832x1248,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g016,47,"product shot · parser found a head: True · bald pass changed 4.7% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g016,47,"product shot · parser found a head: True · bald pass changed 4.7% of pixels",PROD,NOBALD,PROD,832x1248,832x1248,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g021,46,"product shot · parser found a head: True · bald pass changed 7.4% of pixels",PROD,NOBALD,PROD,832x1248,832x1248,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g001,47,"product shot · parser found a head: True · bald pass changed 3.3% of pixels",PROD,NOBALD,PROD,1216x832,1216x832,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g028,47,"product shot · parser found a head: True · bald pass changed 5.2% of pixels",PROD,NOBALD,PROD,832x1248,832x1248,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g021,47,"product shot · parser found a head: True · bald pass changed 7.4% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g001,46,"product shot · parser found a head: True · bald pass changed 3.3% of pixels",PROD,NOBALD,PROD,832x1248,832x1248,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g017,47,"product shot · parser found a head: True · bald pass changed 6.2% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g016,47,"product shot · parser found a head: True · bald pass changed 4.7% of pixels",PROD,PROD,NOBALD,1216x832,1216x832,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g016,46,"product shot · parser found a head: True · bald pass changed 4.7% of pixels",PROD,NOBALD,PROD,1216x832,1216x832,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g023,47,"product shot · parser found a head: True · bald pass changed 5.7% of pixels",PROD,PROD,NOBALD,1216x832,1216x832,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g021,46,"product shot · parser found a head: True · bald pass changed 7.4% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g028,46,"product shot · parser found a head: True · bald pass changed 5.2% of pixels",PROD,NOBALD,PROD,1216x832,1216x832,same,same
