stage,arm,pair_idx,pair,garment_sim,identity_cos,pose_err,bg_psnr
grid,fashn_v16,2,p005xg023,0.3919208280054923,0.9759992957115173,0.02475644858710373,32.17751183293566
grid,fashn_v16,2,p005xg023,0.39815281282748327,0.977723240852356,0.021813662282248042,31.02627879712167
grid,fashn_v16,3,p006xg006,0.0632855815534878,0.9621307253837585,0.02048898044706673,32.84397080035737
grid,fashn_v16,3,p006xg006,0.10491025055357724,0.9623309373855591,0.016419893294882783,33.62861798948642
grid,fashn_v16,4,p007xg019,-0.010440678239233598,0.9889057278633118,0.019178497522474965,21.809690121444305
grid,fashn_v16,4,p007xg019,-0.016177369429027366,0.9887645244598389,0.016553394363855434,23.418576974338503
grid,fashn_v16,5,p008xg024,0.16249101719740378,0.9871077537536621,0.02344637043523871,28.146687503291986
grid,fashn_v16,5,p008xg024,0.10784289758861412,0.986677348613739,0.03075502990195824,30.457255962197408
grid,fashn_v16,6,p013xg004,0.14336312285325167,0.9829196929931641,0.07947397219186653,20.13102737145082
grid,fashn_v16,6,p013xg004,0.10558966448236168,0.9879481792449951,0.07904046385172529,19.20122778983346
grid,fashn_v16,7,p003xg011,0.04858752196182797,0.9900033473968506,0.028098189037669873,29.41369605017002
grid,fashn_v16,7,p003xg011,0.06730371784664246,0.989381730556488,0.026535010146153608,29.118978802311965
grid,fashn_v16,8,p009xg002,0.008534366989794212,0.9921441674232483,0.038666628035707314,33.40895362683725
grid,fashn_v16,8,p009xg002,0.018388507018358,0.9917162656784058,0.041817139842098734,30.499029384146247
grid,fashn_v16,9,p010xg001,0.6133431654557396,0.9779654741287231,0.025155339069536292,29.563198041586002
grid,fashn_v16,9,p010xg001,0.005986260416796899,0.9764276742935181,0.02027698000759416,30.614986098835214
grid,fashn_v16,10,p011xg028,0.17229052773807546,0.9928550720214844,0.03776908437239457,32.687392420214536
grid,fashn_v16,10,p011xg028,0.21288582102217427,0.9799212217330933,0.03468238084151698,32.71592022190892
grid,fashn_v16,11,p012xg007,0.3115744286968923,0.9928834438323975,0.033871947303519785,28.305108992528925
grid,fashn_v16,11,p012xg007,-0.004915397827426224,0.9931474924087524,0.1022493865543143,25.749916979431685
grid,flux_vto_v1,0,p001xg015,0.06803961598514587,0.6267799139022827,0.043394414907977345,23.06742807716272
grid,flux_vto_v1,0,p001xg015,0.059871846824347826,0.610660195350647,0.03729844228561543,22.99600624743149
grid,flux_vto_v1,1,p002xg022,-0.0054049055112643215,0.8730698823928833,0.01187862377481074,30.33837655085758
grid,flux_vto_v1,1,p002xg022,-0.006054349785657757,0.8589956164360046,0.015674264856580307,31.031793807865956
grid,flux_vto_v1,2,p005xg023,0.17754686126085584,0.8784472942352295,0.021301652957833116,29.588800206423027
grid,flux_vto_v1,2,p005xg023,0.17053510848043477,0.8926746845245361,0.01721110864472099,30.843564888371823
grid,flux_vto_v1,3,p006xg006,0.14494793274465495,0.7972726821899414,0.017284439994292605,29.205821592079356
grid,flux_vto_v1,3,p006xg006,0.08114267587765474,0.7427606582641602,0.021881295224666985,29.45829363208758
grid,flux_vto_v1,4,p007xg019,-0.012140073794400092,0.9667675495147705,0.026464735186073087,23.31768744312609
grid,flux_vto_v1,4,p007xg019,-0.012846063455010038,0.9678701162338257,0.018275713036984453,22.823403630410276
grid,flux_vto_v1,5,p008xg024,0.15452371148853034,0.9260803461074829,0.016956022123478808,28.64131912459772
grid,flux_vto_v1,5,p008xg024,0.17836931119471863,0.9327501654624939,0.021816838566643924,32.148547561169515
grid,flux_vto_v1,6,p013xg004,0.3770333087500429,0.8760769367218018,0.03830664398973619,23.228444404925117
grid,flux_vto_v1,6,p013xg004,0.3364387020979015,0.9076235294342041,0.043460179842710146,35.044024936946435
grid,flux_vto_v1,7,p003xg011,0.02955355394084171,0.8932900428771973,0.020584639491949483,29.169070272969293
grid,flux_vto_v1,7,p003xg011,0.06242008759872588,0.9193528890609741,0.02199088101156232,29.380815038776813
grid,flux_vto_v1,8,p009xg002,0.10696280436843764,0.9499521255493164,0.03153266389952048,28.145051751292467
grid,flux_vto_v1,8,p009xg002,0.015318213328598809,0.9442983865737915,0.03802070080130064,29.39726827769767
grid,flux_vto_v1,9,p010xg001,0.216368848577109,0.8584843873977661,0.02186368605270122,29.57126152324355
grid,flux_vto_v1,9,p010xg001,0.22494929334009212,0.844038724899292,0.018176199582315023,29.478365753579897
grid,flux_vto_v1,10,p011xg028,0.2179071587422308,0.9513285756111145,0.01684436411809688,33.14902523662206
grid,flux_vto_v1,10,p011xg028,0.23456731709357856,0.9590694308280945,0.029709110111095553,29.387894900522976
grid,flux_vto_v1,11,p012xg007,0.04848286141924346,0.8719261884689331,0.02139816240661856,28.4870768582663
grid,flux_vto_v1,11,p012xg007,0.06921790213435872,0.8726266026496887,0.020137544692496928,29.164720882792672
grid,klein_4b_edit,0,p001xg015,0.03296895075973702,0.7870778441429138,0.03675158574480787,22.360345883918132
grid,klein_4b_edit,1,p002xg022,0.02575689584433535,0.9386642575263977,0.018414851192137507,28.90029997086433
grid,klein_4b_edit,2,p005xg023,0.23411369319002284,0.883093535900116,0.026829290979218455,25.771032661026837
grid,klein_4b_edit,3,p006xg006,0.15284895450188213,0.8338743448257446,0.012713467850247906,26.62796475914781
grid,klein_4b_edit,4,p007xg019,0.02111709976111481,0.9624232053756714,0.019304115424110518,22.896787953659707
grid,klein_4b_edit,5,p008xg024,0.111868950008911,0.954882025718689,0.026599392365244046,23.371852749886337
grid,klein_4b_edit,6,p013xg004,0.05012345014155978,0.9002602696418762,0.05364578594597679,19.799071684164442
grid,klein_4b_edit,7,p003xg011,0.11743938663292727,0.9332348704338074,0.023396449142695248,27.445703642386103
grid,klein_4b_edit,8,p009xg002,0.11978753725681845,0.9229986667633057,0.03664181278142545,26.455424503158532
grid,klein_4b_edit,9,p010xg001,0.15372281590692655,0.8947649002075195,0.01917796808744702,26.439008001378212
