set_id,person,garment_source,arm,rank,tier,counted
"HD_dualuse_zendaya_white_blazer_skirt","dualuse_queen_latifah_gown_stage","dualuse_zendaya_white_blazer_skirt","D1hO","9","out","no"
"HD_dualuse_zendaya_white_blazer_skirt","dualuse_queen_latifah_gown_stage","dualuse_zendaya_white_blazer_skirt","BALD_raw","10","out","no"
"HD_p019","p011","p019","control","1","top","yes"
"HD_p019","p011","p019","QX_qwen_p1","2","top","yes"
"HD_p019","p011","p019","BC_klein","3","top","yes"
"HD_p019","p011","p019","D2B","4","mid","yes"
"HD_p019","p011","p019","D1hO","5","mid","yes"
"HD_p019","p011","p019","BALD_raw","6","mid","yes"
"HD_p019","p011","p019","D2O","7","mid","yes"
"HD_p019","p011","p019","D3O","8","mid","yes"
"HD_p019","p011","p019","D1hB","9","mid","yes"
"HD_p019","p011","p019","D3B","10","mid","yes"
"HD_p028","p018","p028","QX_qwen_p1","1","top","yes"
"HD_p028","p018","p028","BC_klein","2","top","yes"
"HD_p028","p018","p028","BALD_raw","3","top","yes"
"HD_p028","p018","p028","D1hO","4","top","yes"
"HD_p028","p018","p028","D3O","5","top","yes"
"HD_p028","p018","p028","D1hB","6","top","yes"
"HD_p028","p018","p028","D2B","7","top","yes"
"HD_p028","p018","p028","D3B","8","top","yes"
"HD_p028","p018","p028","control","9","out","no"
"HD_p028","p018","p028","D2O","10","out","no"
"HD_p009","p026","p009","BC_klein","1","top","yes"
"HD_p009","p026","p009","BALD_raw","2","top","yes"
"HD_p009","p026","p009","D1hO","3","top","yes"
"HD_p009","p026","p009","D2O","4","top","yes"
"HD_p009","p026","p009","D3O","5","top","yes"
"HD_p009","p026","p009","D1hB","6","top","yes"
"HD_p009","p026","p009","D2B","7","top","yes"
"HD_p009","p026","p009","D3B","8","top","yes"
"HD_p009","p026","p009","QX_qwen_p1","9","mid","yes"
"HD_p009","p026","p009","control","10","out","no"
"HD_p021+dualuse_hugh_jackman_grey_suit_outdoor","dualuse_hugh_jackman_grey_suit_outdoor","p021","BC_klein","1","top","yes"
"HD_p021+dualuse_hugh_jackman_grey_suit_outdoor","dualuse_hugh_jackman_grey_suit_outdoor","p021","D2B","2","top","yes"
"HD_p021+dualuse_hugh_jackman_grey_suit_outdoor","dualuse_hugh_jackman_grey_suit_outdoor","p021","D3B","3","top","yes"
"HD_p021+dualuse_hugh_jackman_grey_suit_outdoor","dualuse_hugh_jackman_grey_suit_outdoor","p021","D1hB","4","top","yes"
"HD_p021+dualuse_hugh_jackman_grey_suit_outdoor","dualuse_hugh_jackman_grey_suit_outdoor","p021","QX_qwen_p1","5","mid","yes"
"HD_p021+dualuse_hugh_jackman_grey_suit_outdoor","dualuse_hugh_jackman_grey_suit_outdoor","p021","D1hO","6","out","no"
"HD_p021+dualuse_hugh_jackman_grey_suit_outdoor","dualuse_hugh_jackman_grey_suit_outdoor","p021","D2O","7","out","no"
"HD_p021+dualuse_hugh_jackman_grey_suit_outdoor","dualuse_hugh_jackman_grey_suit_outdoor","p021","D3O","8","out","no"
"HD_p021+dualuse_hugh_jackman_grey_suit_outdoor","dualuse_hugh_jackman_grey_suit_outdoor","p021","BALD_raw","9","out","no"
"HD_p021+dualuse_hugh_jackman_grey_suit_outdoor","dualuse_hugh_jackman_grey_suit_outdoor","p021","control","10","out","no"
"HD_p021+p009","p009","p021","QX_qwen_p1","1","mid","yes"
"HD_p021+p009","p009","p021","BC_klein","2","mid","yes"
"HD_p021+p009","p009","p021","D1hB","3","mid","yes"
"HD_p021+p009","p009","p021","D3B","4","mid","yes"
"HD_p021+p009","p009","p021","D2B","5","mid","yes"
"HD_p021+p009","p009","p021","D1hO","6","out","no"
"HD_p021+p009","p009","p021","control","7","out","no"
"HD_p021+p009","p009","p021","D2O","8","out","no"
"HD_p021+p009","p009","p021","D3O","9","out","no"
"HD_p021+p009","p009","p021","BALD_raw","10","out","no"
"HD_p023+dualuse_queen_latifah_gown_stage","dualuse_queen_latifah_gown_stage","p023","QX_qwen_p1","1","top","yes"
"HD_p023+dualuse_queen_latifah_gown_stage","dualuse_queen_latifah_gown_stage","p023","BC_klein","2","mid","yes"
"HD_p023+dualuse_queen_latifah_gown_stage","dualuse_queen_latifah_gown_stage","p023","D1hO","3","mid","yes"
"HD_p023+dualuse_queen_latifah_gown_stage","dualuse_queen_latifah_gown_stage","p023","D2O","4","mid","yes"
"HD_p023+dualuse_queen_latifah_gown_stage","dualuse_queen_latifah_gown_stage","p023","D3O","5","mid","yes"
"HD_p023+dualuse_queen_latifah_gown_stage","dualuse_queen_latifah_gown_stage","p023","D1hB","6","mid","yes"
"HD_p023+dualuse_queen_latifah_gown_stage","dualuse_queen_latifah_gown_stage","p023","control","7","mid","yes"
"HD_p023+dualuse_queen_latifah_gown_stage","dualuse_queen_latifah_gown_stage","p023","D2B","8","mid","yes"
